product_id,product_name,description,ideal_for,pros,cons
P001,MacBook Air M4,"Thin and lightweight laptop designed for everyday productivity and software development.","Software developers, students, professionals","Portable, long battery life, strong performance","Limited ports, not ideal for heavy sustained workloads"
P002,MacBook Pro M4,"High-performance laptop designed for demanding development and professional workloads.","Developers, creators, professionals","High performance, excellent display, strong build quality","Expensive, heavier than Air"
P003,ThinkPad E14,"Business-oriented laptop focused on productivity, development and reliability.","Developers, business users, students","Good keyboard, upgradeability, practical design","Display and build are less premium"
P004,Dell XPS 13,"Premium compact laptop designed for productivity and development.","Developers, professionals, students","Compact, premium design, good display","Limited ports, higher price"
P005,Galaxy S25,"Flagship Android smartphone focused on performance, photography and everyday usage.","Power users, professionals, Android users","Strong performance, premium design, good cameras","Premium pricing"
P006,iPhone 17,"Premium smartphone focused on performance, camera quality and long-term software support.","Professionals, creators, general users","Strong performance, ecosystem integration, long software support","Expensive"
P007,Pixel 10,"Android smartphone emphasizing software experience and computational photography.","Android users, photography enthusiasts","Clean Android experience, strong computational photography","Smaller ecosystem than Apple or Samsung"
P008,OnePlus 14,"Performance-oriented smartphone designed for users who prioritize speed and fast charging.","Power users, gamers, Android users","Fast performance, fast charging, competitive pricing","Camera experience may be less consistent"
P009,Galaxy Tab S11,"Premium Android tablet suitable for productivity, media consumption and note taking.","Students, professionals, media users","Large display, productivity features, Android ecosystem","Accessories can increase total cost"
P010,iPad Air M3,"Tablet combining portability with strong performance for productivity and creative tasks.","Students, professionals, creators","Strong performance, lightweight, good app ecosystem","Some accessories cost extra"
P011,Sony WH-1000XM6,"Premium wireless noise-cancelling headphones designed for travel and focused listening.","Travelers, professionals, music listeners","Excellent noise cancellation, comfortable, strong audio","Premium price"
P012,Bose QuietComfort Ultra,"Premium headphones emphasizing comfort and noise cancellation.","Travelers, professionals, frequent listeners","Comfortable, strong noise cancellation","Expensive"
P013,AirPods Pro 3,"Premium wireless earbuds designed for Apple ecosystem users.","iPhone users, commuters, professionals","Compact, ecosystem integration, noise cancellation","Best experience within Apple ecosystem"
P014,Sony WF-1000XM6,"Premium true wireless earbuds focused on sound quality and noise cancellation.","Music listeners, commuters","Strong audio, noise cancellation","Premium pricing"
P015,Apple Watch Series 11,"Smartwatch focused on fitness, notifications and Apple ecosystem integration.","iPhone users, fitness users","Strong ecosystem integration, health and fitness features","Requires iPhone for full experience"
P016,Galaxy Watch 8,"Android smartwatch focused on fitness, notifications and Samsung ecosystem integration.","Android users, fitness users","Good Android integration, fitness features","Best experience with Samsung devices"
P017,Kindle Paperwhite,"Dedicated e-reader designed for long reading sessions.","Readers, travelers, students","Long battery life, distraction-free reading","Limited to reading-focused use cases"
P018,GoPro Hero 14,"Action camera designed for outdoor activities and travel recording.","Travelers, adventure enthusiasts, creators","Compact, rugged, action-focused","Accessories can become expensive"
P019,DJI Mini 5,"Compact drone designed for travel photography and aerial video.","Travelers, creators, photography enthusiasts","Portable, capable aerial imaging","Requires responsible operation and appropriate permissions"
P020,Logitech MX Master 4,"Premium productivity mouse designed for office and software development workflows.","Developers, office users, professionals","Ergonomic, productivity-focused, customizable","Not designed for competitive gaming"
